date,download,upload
"2016-07-31T06:30:34.138531","155.105493735 Mb/s","34.5114991008 Mb/s"
"2016-07-31T07:00:35.112702","125.789767269 Mb/s","40.4926551422 Mb/s"
"2016-07-31T07:30:27.168717","122.301508298 Mb/s","43.034228963 Mb/s"
"2016-07-31T08:00:32.003525","183.035649959 Mb/s","29.1933812457 Mb/s"
"2016-07-31T08:30:35.123007","87.4792495731 Mb/s","32.8027606582 Mb/s"
"2016-07-31T09:00:31.759291","161.886054283 Mb/s","38.2121446072 Mb/s"
"2016-07-31T09:30:50.159930","60.6900969666 Mb/s","41.707697947 Mb/s"
"2016-07-31T10:00:36.182024","100.226359042 Mb/s","39.5015700097 Mb/s"
"2016-07-31T10:30:33.432062","49.3218372099 Mb/s","41.4776672902 Mb/s"
"2016-07-31T11:00:36.381524","57.3491894321 Mb/s","36.7540026662 Mb/s"
"2016-07-31T11:30:50.919293","71.4476782558 Mb/s","41.6949195569 Mb/s"
"2016-07-31T12:00:24.468704","46.7969026902 Mb/s","43.4009164303 Mb/s"
"2016-07-31T12:30:45.920396","56.5608208351 Mb/s","40.8716531812 Mb/s"
"2016-07-31T13:00:36.064686","69.5566263034 Mb/s","40.1769852059 Mb/s"
"2016-07-31T13:30:45.896879","66.5073990118 Mb/s","36.4047505908 Mb/s"
"2016-07-31T14:00:34.275273","156.181010522 Mb/s","37.8868259291 Mb/s"
"2016-07-31T14:30:43.753178","70.1974699837 Mb/s","37.4202826403 Mb/s"
"2016-07-31T15:00:30.033962","167.013016815 Mb/s","36.8360670168 Mb/s"
"2016-07-31T15:30:33.115981","156.707601445 Mb/s","42.6348711418 Mb/s"
"2016-07-31T16:00:42.598582","36.3556471805 Mb/s","43.4605967959 Mb/s"
"2016-07-31T16:30:35.248940","71.7022651061 Mb/s","40.3127554533 Mb/s"
"2016-07-31T17:00:26.905270","69.1455159192 Mb/s","41.3051557721 Mb/s"
"2016-07-31T17:30:28.867331","168.767725783 Mb/s","73.5339176685 Mb/s"
"2016-07-31T18:00:31.656829","79.1164942194 Mb/s","37.9482739345 Mb/s"
"2016-07-31T18:30:32.067787","94.6689829888 Mb/s","41.7288244712 Mb/s"
"2016-07-31T19:00:41.890503","49.4652769674 Mb/s","37.1435748492 Mb/s"
"2016-07-31T19:30:42.821342","44.6610754476 Mb/s","35.9861697355 Mb/s"
"2016-07-31T20:00:27.008974","44.4180389961 Mb/s","43.258889651 Mb/s"
"2016-07-31T20:30:21.493287","82.4862324597 Mb/s","29.1729351969 Mb/s"
"2016-07-31T21:00:35.781671","70.2667258216 Mb/s","39.9961607111 Mb/s"
"2016-07-31T21:30:22.165639","165.263279066 Mb/s","60.9150396789 Mb/s"
"2016-07-31T22:00:56.733199","52.3218902334 Mb/s","43.4042430108 Mb/s"
"2016-07-31T22:30:31.241142","48.6732356755 Mb/s","43.7319074551 Mb/s"
"2016-07-31T23:00:41.868427","37.6700532961 Mb/s","41.2708336473 Mb/s"
"2016-07-31T23:30:36.260517","53.9566211603 Mb/s","40.848125726 Mb/s"
"2016-08-01T00:00:21.098540","181.574286107 Mb/s","42.0826744225 Mb/s"
"2016-08-01T00:30:32.780843","42.5936133285 Mb/s","26.5386881028 Mb/s"
"2016-08-01T01:00:46.576431","49.4937636668 Mb/s","37.9502700068 Mb/s"
"2016-08-01T01:30:32.016264","44.776110339 Mb/s","41.289647255 Mb/s"
"2016-08-01T02:00:26.966921","57.5087168177 Mb/s","45.6277990118 Mb/s"
"2016-08-01T02:30:46.537032","41.2351906072 Mb/s","36.919415069 Mb/s"
"2016-08-01T03:00:44.316495","60.1480008671 Mb/s","25.4937673265 Mb/s"
"2016-08-01T03:30:28.893350","138.356899865 Mb/s","29.9744029701 Mb/s"
"2016-08-01T04:00:38.606760","41.3887358319 Mb/s","44.3989869664 Mb/s"
"2016-08-01T04:30:40.894793","43.0281697984 Mb/s","41.9364531196 Mb/s"
"2016-08-01T05:00:29.179443","92.5690728191 Mb/s","40.1882004887 Mb/s"
"2016-08-01T05:30:45.231991","43.3781539196 Mb/s","41.8141036143 Mb/s"
"2016-08-01T06:00:53.364381","22.4196242484 Mb/s","41.9544713016 Mb/s"
"2016-08-01T06:30:31.332220","156.2223034 Mb/s","45.0409977475 Mb/s"
"2016-08-01T07:00:41.180912","108.304433815 Mb/s","20.4886706035 Mb/s"
"2016-08-01T07:30:29.338760","128.624502658 Mb/s","34.6091382585 Mb/s"
"2016-08-01T08:00:33.612587","123.146770324 Mb/s","45.4419908312 Mb/s"
"2016-08-01T08:30:43.628017","100.04136512 Mb/s","43.5180061569 Mb/s"
"2016-08-01T09:00:40.155485","103.856071206 Mb/s","41.7942955003 Mb/s"
"2016-08-01T09:30:34.793332","139.839829826 Mb/s","39.3275032772 Mb/s"
"2016-08-01T10:00:51.995053","40.0662412351 Mb/s","9.9170887777 Mb/s"
"2016-08-01T10:30:29.391560","152.898259624 Mb/s","41.4508616916 Mb/s"
"2016-08-01T11:00:28.823555","102.52159159 Mb/s","44.0663004985 Mb/s"
"2016-08-01T11:30:35.012282","108.599451612 Mb/s","41.5195970533 Mb/s"
"2016-08-01T12:00:35.867725","131.029199867 Mb/s","33.6741334369 Mb/s"
"2016-08-01T12:30:40.300424","130.953143365 Mb/s","34.4147142782 Mb/s"
"2016-08-01T13:00:51.143362","61.8672509004 Mb/s","30.4939907451 Mb/s"
"2016-08-01T13:30:43.953013","34.0650439528 Mb/s","42.330081659 Mb/s"
"2016-08-01T14:00:34.114080","133.300152939 Mb/s","31.2785096587 Mb/s"
"2016-08-01T14:30:42.461931","94.7654093712 Mb/s","37.8594284107 Mb/s"
"2016-08-01T15:00:32.828155","141.385531438 Mb/s","38.3133197077 Mb/s"
"2016-08-01T15:30:35.801255","122.190703302 Mb/s","38.8738508562 Mb/s"
"2016-08-01T16:00:36.777064","66.0621782754 Mb/s","42.5553778846 Mb/s"
"2016-08-01T16:30:40.558494","45.4841299225 Mb/s","30.9196401564 Mb/s"
"2016-08-01T17:00:31.848005","154.852401458 Mb/s","40.3918570365 Mb/s"
"2016-08-01T17:30:28.442317","103.100421319 Mb/s","41.5833764756 Mb/s"
"2016-08-01T18:00:40.373046","94.6733865721 Mb/s","43.093648275 Mb/s"
"2016-08-01T18:30:35.829080","84.9410491404 Mb/s","41.0775015784 Mb/s"
"2016-08-01T19:00:33.077595","89.9947773817 Mb/s","43.8722984588 Mb/s"
"2016-08-01T19:30:39.277219","104.448000299 Mb/s","41.3901126031 Mb/s"
"2016-08-01T20:00:37.560758","154.240884872 Mb/s","40.2956988466 Mb/s"
"2016-08-01T20:30:37.803622","65.4000557571 Mb/s","34.358777574 Mb/s"
"2016-08-01T21:00:41.722067","67.2546601351 Mb/s","39.5103219913 Mb/s"
"2016-08-01T21:30:36.784417","79.8217578117 Mb/s","45.5268697202 Mb/s"
"2016-08-01T22:00:30.704039","48.4928742303 Mb/s","26.9533602208 Mb/s"
"2016-08-01T22:31:00.646098","56.8697373265 Mb/s","46.7370365638 Mb/s"
"2016-08-01T23:00:56.201719","47.1600046257 Mb/s","37.6679603231 Mb/s"
"2016-08-01T23:30:38.382246","51.9525238847 Mb/s","40.2163663675 Mb/s"
"2016-08-02T00:30:29.008305","73.3267561952 Mb/s","35.3227367309 Mb/s"
"2016-08-02T01:30:35.304796","73.2065806014 Mb/s","26.211126855 Mb/s"
"2016-08-02T02:30:19.624969","97.7885150841 Mb/s","43.1881931426 Mb/s"
"2016-08-02T03:00:19.988392","173.291835001 Mb/s","50.652664622 Mb/s"
"2016-08-02T03:30:49.896554","33.6725908206 Mb/s","30.6095473072 Mb/s"
"2016-08-02T04:00:47.774822","47.7192690985 Mb/s","44.5334156116 Mb/s"
"2016-08-02T04:30:40.984243","45.3364371967 Mb/s","47.2995033283 Mb/s"
"2016-08-02T05:00:34.509826","53.6054700563 Mb/s","35.7882382493 Mb/s"
"2016-08-02T05:30:19.087415","82.8383914519 Mb/s","44.9746634404 Mb/s"
"2016-08-02T06:00:19.778336","167.602992485 Mb/s","62.9074241346 Mb/s"
"2016-08-02T06:30:43.293163","59.3942133627 Mb/s","46.4866160822 Mb/s"
"2016-08-02T07:00:38.276557","34.8755011465 Mb/s","27.5279930317 Mb/s"
"2016-08-02T07:30:57.613934","50.9796877687 Mb/s","38.1744487004 Mb/s"
"2016-08-02T08:00:24.978238","35.4555141694 Mb/s","43.4815835209 Mb/s"
"2016-08-02T08:30:20.479464","66.818456862 Mb/s","39.213210407 Mb/s"
"2016-08-02T09:00:27.080438","135.69721819 Mb/s","33.8442588879 Mb/s"
"2016-08-02T09:30:23.810162","99.6379103434 Mb/s","30.1548617738 Mb/s"
"2016-08-02T10:00:24.377816","76.1433127145 Mb/s","42.0123077387 Mb/s"
"2016-08-02T10:30:30.024202","118.598276521 Mb/s","35.3065079166 Mb/s"
"2016-08-02T11:00:36.821121","53.4727852279 Mb/s","28.348949338 Mb/s"
"2016-08-02T11:30:39.233121","57.2039701274 Mb/s","41.4904140822 Mb/s"
"2016-08-02T12:00:31.077204","48.1951042997 Mb/s","22.4648343804 Mb/s"
"2016-08-02T12:30:31.215640","65.7855361879 Mb/s","36.9229143289 Mb/s"
"2016-08-02T13:00:21.490350","157.232063157 Mb/s","69.0350178863 Mb/s"
"2016-08-02T13:30:39.756199","73.8602921316 Mb/s","38.16788538 Mb/s"
"2016-08-02T14:00:38.694645","63.4282448678 Mb/s","36.162942422 Mb/s"
"2016-08-02T14:30:37.827829","34.9619645898 Mb/s","42.8298809365 Mb/s"
"2016-08-02T15:01:02.951109","28.390094123 Mb/s","28.2185532683 Mb/s"
"2016-08-02T15:30:36.265046","59.4376547944 Mb/s","40.301695157 Mb/s"
"2016-08-02T16:00:23.461123","127.750335497 Mb/s","71.6613106864 Mb/s"
"2016-08-02T16:30:33.238598","50.7447872649 Mb/s","41.5137834725 Mb/s"
"2016-08-02T17:00:23.530130","49.9230423794 Mb/s","30.1235941223 Mb/s"
"2016-08-02T17:30:27.587856","46.9234387117 Mb/s","30.414228492 Mb/s"
"2016-08-02T18:00:38.070507","57.6612072975 Mb/s","43.6188118791 Mb/s"
"2016-08-02T18:30:31.074173","64.8840655933 Mb/s","39.7990504483 Mb/s"
"2016-08-02T19:00:30.124597","33.3248405386 Mb/s","23.7646730497 Mb/s"
"2016-08-02T19:30:19.277931","126.119524777 Mb/s","35.0495943548 Mb/s"
"2016-08-02T20:00:22.437814","107.166501848 Mb/s","37.1608366629 Mb/s"
"2016-08-02T20:30:31.830698","39.2707575244 Mb/s","41.6749039437 Mb/s"
"2016-08-02T21:00:27.013408","52.7251293488 Mb/s","32.0083461656 Mb/s"
"2016-08-02T21:30:25.063597","161.556062797 Mb/s","44.639730454 Mb/s"
"2016-08-02T22:00:38.662076","65.6453349182 Mb/s","20.090864882 Mb/s"
"2016-08-02T22:30:42.811905","45.0019542193 Mb/s","37.8842798942 Mb/s"
"2016-08-02T23:00:39.988971","69.4069193592 Mb/s","42.6522309501 Mb/s"
"2016-08-02T23:30:26.136364","78.2095621208 Mb/s","40.0618131728 Mb/s"
"2016-08-03T00:00:40.011829","62.7201827281 Mb/s","38.5591783175 Mb/s"
"2016-08-03T00:30:22.411746","76.7397802647 Mb/s","28.197977008 Mb/s"
"2016-08-03T01:00:45.836683","42.4366948093 Mb/s","23.8056621045 Mb/s"
"2016-08-03T01:30:34.955569","96.9850172466 Mb/s","38.9104456956 Mb/s"
"2016-08-03T02:00:20.578911","78.3129057355 Mb/s","29.1842186747 Mb/s"
"2016-08-03T02:30:32.718963","33.1081050281 Mb/s","44.3323014428 Mb/s"
"2016-08-03T03:00:32.568582","94.5991388686 Mb/s","43.3359274911 Mb/s"
"2016-08-03T03:30:18.735877","101.609806848 Mb/s","42.6583706748 Mb/s"
"2016-08-03T04:00:40.536306","64.8985212457 Mb/s","36.4838921102 Mb/s"
"2016-08-03T04:30:41.032340","78.0828522467 Mb/s","36.8002524074 Mb/s"
"2016-08-03T05:00:27.265675","86.1515320907 Mb/s","38.7898293074 Mb/s"
"2016-08-03T05:30:30.516831","70.4134335877 Mb/s","41.5974919555 Mb/s"
"2016-08-03T06:00:35.475685","62.2797858109 Mb/s","36.0402027664 Mb/s"
"2016-08-03T06:30:33.794434","37.0739274619 Mb/s","44.1832364157 Mb/s"
"2016-08-03T07:00:37.070542","51.3990188018 Mb/s","41.0716046777 Mb/s"
"2016-08-03T07:30:30.921331","70.0164321941 Mb/s","40.4465651408 Mb/s"
"2016-08-03T08:00:23.431847","169.24251995 Mb/s","82.3637314521 Mb/s"
"2016-08-03T08:30:39.936144","54.9304485565 Mb/s","32.5118311343 Mb/s"
"2016-08-03T09:00:23.616476","88.0631756695 Mb/s","26.8969960964 Mb/s"
"2016-08-03T09:30:45.502394","67.708367916 Mb/s","38.9223903987 Mb/s"
"2016-08-03T10:00:20.946612","93.6772792656 Mb/s","43.2800094806 Mb/s"
"2016-08-03T10:30:37.772660","46.9402584394 Mb/s","41.8378948106 Mb/s"
"2016-08-03T11:00:26.051078","76.4636037236 Mb/s","30.8165612454 Mb/s"
"2016-08-03T11:30:40.091848","52.9477037327 Mb/s","38.2189112177 Mb/s"
"2016-08-03T12:00:21.636198","121.062772558 Mb/s","38.2005250935 Mb/s"
"2016-08-03T12:30:25.665890","50.2581325126 Mb/s","33.1627139047 Mb/s"
"2016-08-03T13:00:37.405831","77.2008388903 Mb/s","41.5735337548 Mb/s"
"2016-08-03T13:30:39.785763","85.9068733587 Mb/s","31.818011052 Mb/s"
"2016-08-03T22:30:40.790121","44.1539859835 Mb/s","43.9102492358 Mb/s"
"2016-08-03T23:00:25.126172","179.622007555 Mb/s","52.791312528 Mb/s"
"2016-08-03T23:30:48.523508","46.0380467679 Mb/s","33.6535772614 Mb/s"
