date,Download Speed, Upload Speed
2016-08-18T05:40:20,93.0481705301,47.9910574891
2016-08-18T05:45:33,90.4511924837,18.2303419207
2016-08-18T05:50:17,89.1843808437,47.0294371015
2016-08-18T05:55:27,91.4985251306,17.9819184371
2016-08-18T06:00:22,92.9491626273,40.3350209785
2016-08-18T06:05:26,91.7295481155,17.3187187362
2016-08-18T06:10:19,91.416662439,44.7294609381
2016-08-18T06:15:20,92.3276319851,45.5299206243
2016-08-18T06:20:22,92.1939924964,47.008697515
2016-08-18T06:25:27,91.5134677233,17.2829156043
2016-08-18T06:30:25,93.1705186217,44.7511628966
2016-08-18T06:35:31,91.4016287546,14.9206702094
2016-08-18T06:40:24,91.6381803317,14.2802116292
2016-08-18T06:45:24,93.4647431347,46.3693990412
2016-08-18T06:50:22,90.7310104253,21.778131442
2016-08-18T06:55:26,93.1336858657,42.4742821314
2016-08-18T07:00:27,80.8088202668,16.6800685946
2016-08-18T07:05:19,92.61591519,49.1591417122
2016-08-18T07:10:17,93.280894107,41.6069993205
2016-08-18T07:15:25,90.456511372,21.4927703984
2016-08-18T07:20:21,93.4841051739,43.0101048547
2016-08-18T07:25:28,91.6242717926,15.8459984083
2016-08-18T07:30:20,93.1832822827,41.4480407715
2016-08-18T07:35:24,93.3393870983,40.9117727734
2016-08-18T07:40:22,92.9418056423,44.981055883
2016-08-18T07:45:22,92.7116299466,24.1085460596
2016-08-18T07:50:32,57.6180644317,18.4442564068
2016-08-18T07:55:26,91.888151137,15.4463714042
2016-08-18T08:00:27,93.3508922222,41.7047839065
2016-08-18T08:05:23,90.901860526,27.85705535
2016-08-18T08:10:20,93.1000342939,39.327515569
2016-08-18T08:15:26,90.8434657358,40.0543477248
2016-08-18T08:20:27,93.5972638922,31.0958808183
2016-08-18T08:25:28,91.3268205349,10.9481641605
2016-08-18T08:30:22,93.3033265776,45.8745400695
2016-08-18T08:35:21,93.1746712387,44.6624297166
2016-08-18T08:40:25,93.2589475545,39.9460465895
2016-08-18T08:45:17,79.4703444061,46.2612809789
2016-08-18T08:50:22,92.7975341208,43.2650416452
2016-08-18T08:55:25,90.5103574628,18.4332408831
2016-08-18T09:00:25,91.5594346766,47.2543102264
2016-08-18T09:05:23,86.0060617114,23.2563686941
2016-08-18T09:10:21,91.35921269,46.4969057583
2016-08-18T09:15:30,87.6899998051,19.0878515143
2016-08-18T09:20:24,87.0742117345,17.8293171861
2016-08-18T09:25:28,88.0015036637,16.2042474746
2016-08-18T09:30:23,90.0175727567,48.0154250192
2016-08-18T09:35:30,86.1017336184,13.837306034
2016-08-18T09:40:22,89.725464321,48.498093845
2016-08-18T09:45:22,92.1852689538,39.7682479899
2016-08-18T09:50:22,93.0699113395,42.0539091573
2016-08-18T09:55:31,87.3210933015,18.7381630813
2016-08-18T10:00:19,83.2422492512,42.7569372997
2016-08-18T10:05:26,85.9946636001,18.5490250193
2016-08-18T10:10:24,82.0439454695,45.9120313579
2016-08-18T10:15:25,87.5774708965,20.5128985893
2016-08-18T10:20:23,86.5231565596,41.1909008606
2016-08-18T10:25:31,79.6881386574,15.2914401385
2016-08-18T10:30:20,88.2563738479,43.3703603142
