date,size,time,hash
"2016-08-05T18:01:54.437990","0 MiB","113.69","91c879315f6d9b2a909654dbe6797dde336c7658"
"2016-08-05T19:01:35.998965","0 MiB","95.72","91c879315f6d9b2a909654dbe6797dde336c7658"
"2016-08-05T20:01:26.631007","0 MiB","85.64","91c879315f6d9b2a909654dbe6797dde336c7658"
"2016-08-05T21:01:54.890305","0 MiB","114.26","91c879315f6d9b2a909654dbe6797dde336c7658"
"2016-08-05T22:03:43.116563"," 120.43 KiB ","222.72","b053318dcb4dd7caaf3aa7363de85ff2ca9be6d2"
"2016-08-05T23:01:49.668531"," 490.58 KiB ","108.64","d2c4516673e2c740b44e25f903a2719e7ec337db"
"2016-08-06T00:01:52.832505"," 283.17 KiB ","112.18","e056d316e7387dbc35e414e3cb91ef12d0191375"
"2016-08-06T01:02:05.952997"," 281.49 KiB ","125.68","ca8518c6c7aeebe3400a36d4267a6a25cb49beb7"
"2016-08-06T02:03:44.124526"," 73.68 KiB ","223.29","b7716d402d83c452c0b36a17fa54ba86f03664ec"
"2016-08-06T03:01:59.183786"," 136.39 KiB ","118.76","7c867057e984499574e632bb5552f41afafd9969"
"2016-08-06T04:01:57.999761"," 259.36 KiB ","117.02","c324af08281961c6096e14c5dbbb5a8cd45a9be3"
"2016-08-06T05:02:29.249385"," 541.80 KiB ","148.65","52b5d94e18ebb143de13fe9951a97f8ac4fe7224"
"2016-08-06T06:03:40.457161"," 407.94 KiB ","220.24","a55ea5e493061e85159b2a2405c0caf890d8c8f4"
"2016-08-06T07:02:44.509467","0 MiB","163.71","79241a0060d7df5f8333f2fd1fe240e5cdbc0b9f"
"2016-08-06T08:02:27.220057","0 MiB","146.89","2e29c6c7eb7a0f9795ba50f327f55109ab7d00ed"
"2016-08-06T09:02:08.512726","0 MiB","127.59","525b450fb74d9937d57b8a2756557ca7dd68defb"
"2016-08-06T10:03:18.895361"," 169.06 KiB ","198.30","95d7451026b2d4771914845aca03ccc14b33f662"
"2016-08-06T11:02:39.733589","0 MiB","158.40","b640ea6c6b504ceb8088879f142a57df44e21a84"
"2016-08-06T12:02:59.136100","0 MiB","178.49","45ce7de6e37013e11da334cd96273295b5601b5b"
"2016-08-06T13:01:42.422825","0 MiB","102.17","45ce7de6e37013e11da334cd96273295b5601b5b"
"2016-08-06T14:01:58.477025","0 MiB","117.67","45ce7de6e37013e11da334cd96273295b5601b5b"
"2016-08-06T15:02:10.438075","0 MiB","129.99","45ce7de6e37013e11da334cd96273295b5601b5b"
"2016-08-06T16:02:20.153592","0 MiB","139.17","45ce7de6e37013e11da334cd96273295b5601b5b"
"2016-08-06T17:01:46.203739","0 MiB","105.62","45ce7de6e37013e11da334cd96273295b5601b5b"
"2016-08-06T18:01:43.831644","0 MiB","102.66","45ce7de6e37013e11da334cd96273295b5601b5b"
"2016-08-06T19:01:56.071471","0 MiB","115.20","45ce7de6e37013e11da334cd96273295b5601b5b"
"2016-08-06T20:01:35.446094","0 MiB","95.08","45ce7de6e37013e11da334cd96273295b5601b5b"
"2016-08-06T21:03:40.000034","0 MiB","219.03","9e7af94ac972ddd1d1fdbf8b5c06d82238005c6c"
"2016-08-06T22:02:01.044338","0 MiB","120.57","c609f45576ed9f3af451b62845972c4ad04c17d4"
"2016-08-06T23:01:56.587890","0 MiB","115.55","750d494632c5898b03bef8ed403ab61c0e17c0a0"
"2016-08-07T00:01:45.919338","0 MiB","105.35","750d494632c5898b03bef8ed403ab61c0e17c0a0"
"2016-08-07T01:01:32.634289","0 MiB","91.57","750d494632c5898b03bef8ed403ab61c0e17c0a0"
"2016-08-07T02:01:37.889506","0 MiB","97.23","750d494632c5898b03bef8ed403ab61c0e17c0a0"
"2016-08-07T03:01:23.653870","0 MiB","83.43","750d494632c5898b03bef8ed403ab61c0e17c0a0"
"2016-08-07T04:01:27.461113","0 MiB","86.71","750d494632c5898b03bef8ed403ab61c0e17c0a0"
"2016-08-07T05:01:32.166877","0 MiB","91.90","750d494632c5898b03bef8ed403ab61c0e17c0a0"
"2016-08-07T06:03:56.891718","0 MiB","236.15","516b5999953a21d3a37dad6ce0e9f72d221fcca1"
"2016-08-07T07:02:34.586191","0 MiB","154.28","ba67adf22ae9e77f96fb7026b3ec828ade17f506"
"2016-08-07T08:01:36.079092","0 MiB","95.38","ba67adf22ae9e77f96fb7026b3ec828ade17f506"
"2016-08-07T09:01:37.149449","0 MiB","97.03","ba67adf22ae9e77f96fb7026b3ec828ade17f506"
"2016-08-07T10:01:50.174917","0 MiB","109.36","ba67adf22ae9e77f96fb7026b3ec828ade17f506"
