date,size,time,hash
"2016-08-07T21:00:44.587626"," 797.80 KiB ","43.56","2b63386b4cccab623819bf14faffdeaa6adf6e26"
"2016-08-07T22:01:26.957346"," 797.80 KiB ","86.15","2b63386b4cccab623819bf14faffdeaa6adf6e26"
"2016-08-07T23:00:24.504376","0 MiB","24.10","2b63386b4cccab623819bf14faffdeaa6adf6e26"
"2016-08-08T00:00:24.632475","0 MiB","23.49","2b63386b4cccab623819bf14faffdeaa6adf6e26"
"2016-08-08T01:00:24.532990","0 MiB","23.73","2b63386b4cccab623819bf14faffdeaa6adf6e26"
"2016-08-08T02:00:22.962328","0 MiB","22.44","2b63386b4cccab623819bf14faffdeaa6adf6e26"
"2016-08-08T03:00:39.782249"," 59.10 KiB ","39.56","c8caf69276a7037523de17374ac13151c7b1e662"
"2016-08-08T04:01:26.299507"," 107.21 KiB ","85.34","c8caf69276a7037523de17374ac13151c7b1e662"
"2016-08-08T05:01:28.034879"," 444.51 KiB ","87.53","c8caf69276a7037523de17374ac13151c7b1e662"
"2016-08-08T06:01:28.338125"," 492.77 KiB ","88.10","c8caf69276a7037523de17374ac13151c7b1e662"
"2016-08-08T07:01:27.121649"," 541.04 KiB ","86.12","c8caf69276a7037523de17374ac13151c7b1e662"
"2016-08-08T08:00:42.627719"," 541.04 KiB ","42.14","c8caf69276a7037523de17374ac13151c7b1e662"
"2016-08-08T09:00:26.020908","0 MiB","24.96","c8caf69276a7037523de17374ac13151c7b1e662"
"2016-08-08T10:00:23.763233","0 MiB","22.87","c8caf69276a7037523de17374ac13151c7b1e662"
"2016-08-08T11:00:24.529310","0 MiB","23.90","c8caf69276a7037523de17374ac13151c7b1e662"
"2016-08-08T12:00:24.602025","0 MiB","23.51","c8caf69276a7037523de17374ac13151c7b1e662"
"2016-08-08T13:01:25.946928","0 MiB","85.36","5c2dda06665c5f804cc9e5c89070610e393cad13"
"2016-08-08T14:00:42.856066","0 MiB","41.79","5c2dda06665c5f804cc9e5c89070610e393cad13"
"2016-08-08T15:00:44.744186","0 MiB","44.18","5c2dda06665c5f804cc9e5c89070610e393cad13"
"2016-08-08T16:01:30.803803","0 MiB","89.74","5c2dda06665c5f804cc9e5c89070610e393cad13"
"2016-08-08T17:01:29.599606","0 MiB","89.12","5c2dda06665c5f804cc9e5c89070610e393cad13"
"2016-08-08T18:01:30.138147","0 MiB","89.04","5c2dda06665c5f804cc9e5c89070610e393cad13"
"2016-08-08T19:00:24.775022","0 MiB","24.22","5c2dda06665c5f804cc9e5c89070610e393cad13"
"2016-08-08T20:00:25.420042","0 MiB","24.31","5c2dda06665c5f804cc9e5c89070610e393cad13"
"2016-08-08T21:00:26.633492","0 MiB","25.90","5c2dda06665c5f804cc9e5c89070610e393cad13"
"2016-08-08T22:01:27.865035","0 MiB","87.42","bd981a2b0111b4000be80876eb3ee6552c24b752"
"2016-08-08T23:01:28.784791"," 488.19 KiB ","87.65","dbf0848ecd7d399dd42cdb69b171cae6c83f2a7c"
"2016-08-09T00:01:28.125969"," 840.48 KiB ","87.32","b47d2fa4762cd0dce93330b036f7e960fa5db2c2"
"2016-08-09T01:01:28.262722"," 1.98 MiB ","87.76","df2426e4a8ba6fad949d4ffa90cff86fa5401fec"
"2016-08-09T02:00:45.126031"," 2.12 MiB ","44.00","e765da154647e209dec722b7d7be85212c8035a5"
"2016-08-09T03:00:45.626722"," 2.35 MiB ","44.98","a2336cc9badbef112f97638878f0d654a748be18"
"2016-08-09T04:01:28.381302"," 2.33 MiB ","88.13","54bc727134cfc922f386ae349ebc3da5c81067c2"
"2016-08-09T05:01:30.133322"," 2.37 MiB ","89.30","fbde6dc911e0c86bac8f7affa682eaf1fc6bdc36"
"2016-08-09T06:01:29.726825"," 2.41 MiB ","89.25","0e393d5b013e2c5a01738149d5db4c76fe958fc6"
"2016-08-09T07:01:29.548692"," 1.21 MiB ","88.44","9962c07bea2b0b6fcdd5e9ee33c0eb95d76e0552"
"2016-08-09T08:00:44.615125"," 1.36 MiB ","43.94","9962c07bea2b0b6fcdd5e9ee33c0eb95d76e0552"
"2016-08-09T09:00:46.251138"," 1.38 MiB ","45.63","9962c07bea2b0b6fcdd5e9ee33c0eb95d76e0552"
"2016-08-09T10:01:30.433231"," 1.39 MiB ","89.41","feaa6e5c6da58bc627c47162a6c8ac5302d5ff00"
"2016-08-09T11:01:29.973110"," 1.12 MiB ","89.27","feaa6e5c6da58bc627c47162a6c8ac5302d5ff00"
"2016-08-09T12:01:30.227723"," 1.07 MiB ","89.15","feaa6e5c6da58bc627c47162a6c8ac5302d5ff00"
"2016-08-09T13:01:28.059075","0 MiB","87.59","feaa6e5c6da58bc627c47162a6c8ac5302d5ff00"
"2016-08-09T14:00:43.811117","0 MiB","42.65","feaa6e5c6da58bc627c47162a6c8ac5302d5ff00"
"2016-08-09T15:00:45.840687","0 MiB","44.81","feaa6e5c6da58bc627c47162a6c8ac5302d5ff00"
"2016-08-09T16:00:23.639591","0 MiB","23.20","feaa6e5c6da58bc627c47162a6c8ac5302d5ff00"
"2016-08-09T17:00:25.270461","0 MiB","24.17","feaa6e5c6da58bc627c47162a6c8ac5302d5ff00"
"2016-08-09T18:00:24.068719","0 MiB","23.74","feaa6e5c6da58bc627c47162a6c8ac5302d5ff00"
"2016-08-09T19:00:24.022029","0 MiB","23.12","feaa6e5c6da58bc627c47162a6c8ac5302d5ff00"
"2016-08-09T20:00:39.931784","0 MiB","39.48","c8f7931c75ad6a2bf810751d3277e56af10d9282"
"2016-08-09T21:00:45.868839","0 MiB","44.83","c8f7931c75ad6a2bf810751d3277e56af10d9282"
"2016-08-09T22:01:30.046965","0 MiB","88.95","7d0764bc44bd78324e9e0edb92f879179e092403"
"2016-08-09T23:01:30.400773"," 1.36 MiB ","89.23","340da0d86b9d19f4d52db4acc354ab0c8a5c858f"
"2016-08-10T00:01:30.163229"," 1.69 MiB ","89.46","01d1fbe116adef66aa6416831b5c0c0b29b714a8"
